    data.addRow([0.999987045382, 1.00440814596])
    data.addRow([1.99990273835, 1.01718958958])
    data.addRow([2.99970162995, 1.03715746562])
    data.addRow([3.9993686597, 1.06291835732])
    data.addRow([4.99890695601, 1.09327985965])
    data.addRow([5.99832954458, 1.12724545106])
    data.addRow([6.99765433707, 1.16398075906])
    data.addRow([7.99690107155, 1.20278422313])
    data.addRow([8.99608947533, 1.24306340791])
    data.addRow([9.99525348747, 1.28394466077])
    data.addRow([10.9943868478, 1.32556831158])
    data.addRow([11.993503308, 1.36759567048])
    data.addRow([12.9926182586, 1.40965890189])
    data.addRow([13.9917453559, 1.45143261913])
    data.addRow([14.990896048, 1.49263813591])
    data.addRow([15.9900999558, 1.53253130838])
    data.addRow([16.9893457053, 1.57136207853])
    data.addRow([17.9886368547, 1.60900601529])
    data.addRow([18.9879771531, 1.64532137304])
    data.addRow([19.987369356, 1.68017868534])
    data.addRow([20.9868152221, 1.71346139997])
    data.addRow([21.9863156017, 1.74506427411])
    data.addRow([22.9858705218, 1.77489186632])
    data.addRow([23.9854792618, 1.8028572836])
    data.addRow([24.9851404201, 1.82888115503])
    data.addRow([25.9848519721, 1.85289079428])
    data.addRow([26.9846113226, 1.87481951805])
    data.addRow([27.9844153526, 1.8946060935])
    data.addRow([28.9842604618, 1.91219429179])
    data.addRow([29.9841426085, 1.92753252922])
    data.addRow([30.9840573461, 1.94057358028])
    data.addRow([31.9839998589, 1.95127434974])
    data.addRow([32.9839649963, 1.95959569307])
    data.addRow([33.983947306, 1.96550227622])
    data.addRow([34.9839410671, 1.96896246751])
    data.addRow([35.9839403233, 1.96994825533])
    data.addRow([36.9839389161, 1.9684351866])
    data.addRow([37.9839305175, 1.9644023218])
    data.addRow([38.9839086641, 1.95783220295])
    data.addRow([39.983866791, 1.94871083173])
    data.addRow([40.9837982659, 1.9370276551])
    data.addRow([41.983696424, 1.92277555664])
    data.addRow([42.9835546025, 1.90595085168])
    data.addRow([43.9833661762, 1.886553285])
    data.addRow([44.9831245921, 1.86458602978])
    data.addRow([45.9828234049, 1.840055687])
    data.addRow([46.9824563116, 1.8129722843])
    data.addRow([47.9820171865, 1.78334927369])
    data.addRow([48.9815001148, 1.75120352768])
    data.addRow([49.9808994267, 1.71655533316])
    data.addRow([50.9802097299, 1.67942838276])
    data.addRow([51.9794259413, 1.63984976345])
    data.addRow([52.9785433178, 1.59784994191])
    data.addRow([53.9775574859, 1.5534627467])
    data.addRow([54.9764644695, 1.50672534689])
    data.addRow([55.9752607162, 1.4576782271])
    data.addRow([56.9739431225, 1.40636515879])
    data.addRow([57.9725090559, 1.35283316779])
    data.addRow([58.9709563763, 1.29713249796])
    data.addRow([59.969283454, 1.2393165709])
    data.addRow([60.9674891864, 1.17944194179])
    data.addRow([61.9655730117, 1.11756825125])
    data.addRow([62.9635349201, 1.05375817327])
    data.addRow([63.9613754625, 0.988077359175])
    data.addRow([64.9590957569, 0.92059437772])
    data.addRow([65.9566974909, 0.851380651227])
    data.addRow([66.9541829225, 0.780510387896])
    data.addRow([67.9515548774, 0.708060510262])
    data.addRow([68.9488167434, 0.634110579887])
    data.addRow([69.9459724618, 0.558742718286])
    data.addRow([70.9430265161, 0.482041524189])
    data.addRow([71.9399839175, 0.40409398715])
    data.addRow([72.9368501875, 0.324989397599])
    data.addRow([73.9336313374, 0.244819253373])
    data.addRow([74.9303714112, 0.164139482632])
    data.addRow([75.9270362104, 0.0825350838911])
    data.addRow([76.9236271458, 3.35229431608e-05])
    data.addRow([77.9201522357, -0.0832596050643])
    data.addRow([78.9166207743, -0.167226572307])
    data.addRow([79.9130423497, -0.251749019431])
    data.addRow([80.9094266624, -0.336709606903])
    data.addRow([81.9057834853, -0.421991970163])
    data.addRow([82.9021226442, -0.507480451655])
    data.addRow([83.8984539969, -0.593059863055])
    data.addRow([84.8947874076, -0.678615310804])
    data.addRow([85.891132717, -0.764032080271])
    data.addRow([86.8874997077, -0.849195568975])
    data.addRow([87.8838980672, -0.933991260058])
    data.addRow([88.8803373473, -1.01830472867])
    data.addRow([89.8768269222, -1.10202167523])
    data.addRow([90.8733759442, -1.18502798075])
    data.addRow([91.869993299, -1.26720978009])
    data.addRow([92.8667302131, -1.34792800225])
    data.addRow([93.8635530425, -1.42757816235])
    data.addRow([94.8604662654, -1.50608871258])
    data.addRow([95.8574772396, -1.58334784567])
    data.addRow([96.8545930608, -1.65924165107])
    data.addRow([97.8518202572, -1.7336575201])
    data.addRow([98.8491647361, -1.80648446551])
    data.addRow([99.8466317521, -1.87761318574])
    data.addRow([100.844225878, -1.9469361231])
    data.addRow([101.84195098, -2.01434753553])
    data.addRow([102.839810189, -2.07974358069])
    data.addRow([103.837805878, -2.14302241039])
    data.addRow([104.835939646, -2.20408427308])
    data.addRow([105.834212296, -2.26283162278])
    data.addRow([106.832623819, -2.31916923289])
    data.addRow([107.831173387, -2.37300431355])
    data.addRow([108.829859346, -2.42424663151])
    data.addRow([109.828679206, -2.47280863153])
    data.addRow([110.827629647, -2.51860555843])
    data.addRow([111.826706521, -2.5615555791])
    data.addRow([112.825904859, -2.60157990383])
    data.addRow([113.825218888, -2.63860290633])
    data.addRow([114.824642039, -2.67255224199])
    data.addRow([115.824166979, -2.70335896389])
    data.addRow([116.823785625, -2.73095763617])
    data.addRow([117.823489181, -2.75528644432])
    data.addRow([118.82326817, -2.77628730213])
    data.addRow([119.823112465, -2.79390595495])
    data.addRow([120.823011339, -2.80809207897])
    data.addRow([121.822953503, -2.81879937623])
    data.addRow([122.822927159, -2.82598566525])
    data.addRow([123.822920047, -2.82961296688])
    data.addRow([124.822919504, -2.82964758531])
    data.addRow([125.822912518, -2.82606018394])
    data.addRow([126.822885793, -2.81882585616])
    data.addRow([127.822825805, -2.80792419055])
    data.addRow([128.822718872, -2.79333933073])
    data.addRow([129.822551222, -2.77506002945])
    data.addRow([130.822309053, -2.75307969706])
    data.addRow([131.821978612, -2.72739644401])
    data.addRow([132.821546259, -2.69801311754])
